chr,region,start,end,strand,gene_name
LT708304.1,SSR118,3872101,3872292,-,fdxD
LT708304.1,SSR118,3872507,3873531,+,fadE26
LT708304.1,SSR46,1394472,1395254,-,BQ2027_MB1281C
LT708304.1,SSR46,1395451,1397190,+,BQ2027_MB1282
LT708304.1,SSR46,1397093,1400512,-,BQ2027_MB1283C
LT708304.1,SSR46,1400568,1401176,-,lprE
LT708304.1,SSR46,1401242,1402933,+,deaD
LT708304.1,SSR46,1402930,1404081,+,BQ2027_MB1286
LT708304.1,SSR46,1404050,1404349,-,BQ2027_MB1287C
LT708304.1,SSR46,1404346,1405605,-,BQ2027_MB1288C
LT708304.1,SSR46,1405604,1406503,+,udgb
LT708304.1,SSR46,1406505,1407329,+,BQ2027_MB1290
LT708304.1,SSR46,1407329,1407622,+,BQ2027_MB1291
LT708304.1,SSR46,1407748,1408197,-,BQ2027_MB1292C
LT708304.1,SSR46,1408202,1408636,-,BQ2027_MB1293C
LT708304.1,SSR46,1408695,1410083,+,amiB2
LT708304.1,SSR46,1410158,1411351,+,BQ2027_MB1295
LT708304.1,SSR46,1411524,1412204,+,BQ2027_MB1296
LT708304.1,SSR46,1412224,1414014,-,pknH1
LT708304.1,SSR46,1414258,1416654,-,tbd2
LT708304.1,SSR46,1416665,1418431,-,pknH2
LT708304.1,SSR46,1418736,1419902,-,embR
LT708304.1,SSR46,1420213,1420911,-,BQ2027_MB1299C
LT708304.1,SSR46,1421134,1421508,-,BQ2027_MB1300C
LT708304.1,SSR46,1421569,1422303,-,lprA
LT708304.1,SSR46,1422516,1422857,-,BQ2027_MB1302C
LT708304.1,SSR46,1422965,1423611,-,BQ2027_MB1303C
LT708304.1,SSR29,872472,873615,+,purB
LT708304.1,SSR29,873620,874864,+,cyp126
LT708304.1,SSR29,874861,875481,-,BQ2027_MB0802C
LT708304.1,SSR29,875532,876425,+,purC
LT708304.1,SSR29,876422,878581,+,ptrB
LT708304.1,SSR29,879009,880631,-,emrB
LT708304.1,SSR29,880829,881515,+,BQ2027_MB0806
LT708304.1,SSR29,881531,882106,+,BQ2027_MB0807
LT708304.1,SSR29,882124,883230,+,BQ2027_MB0808
LT708304.1,SSR29,883265,883654,-,BQ2027_MB0809C
LT708304.1,SSR29,883649,884608,+,BQ2027_MB0810
LT708304.1,SSR29,884714,884953,+,purS
LT708304.1,SSR29,884950,885624,+,purQ
LT708304.1,SSR29,885641,886240,-,BQ2027_MB0813C
LT708304.1,SSR29,886262,886821,-,BQ2027_MB0814C
LT708304.1,SSR81,2503722,2504271,+,kasB
LT708304.1,SSR81,2504302,2505723,+,accD6
LT708304.1,SSR81,2505831,2506646,+,BQ2027_MB2272
LT708304.1,SSR81,2506715,2508265,-,glpD1
LT708304.1,SSR81,2508259,2508828,-,BQ2027_MB2274C
LT708304.1,SSR81,2508876,2510465,+,BQ2027_MB2275
LT708304.1,SSR81,2510462,2511391,+,BQ2027_MB2276
LT708304.1,SSR81,2511457,2511960,+,BQ2027_MB2277
LT708304.1,SSR81,2511993,2512448,-,BQ2027_MB2278C
LT708304.1,SSR81,2512453,2512647,-,BQ2027_MB2279C
LT708304.1,SSR81,2512814,2513347,-,BQ2027_MB2280C
LT708304.1,SSR81,2513477,2514295,-,BQ2027_MB2281C
LT708304.1,SSR81,2514309,2515370,-,BQ2027_MB2282C
LT708304.1,SSR81,2515612,2516697,+,mscr
LT708304.1,SSR81,2516697,2517332,+,BQ2027_MB2284
LT708304.1,SSR81,2517409,2518071,-,BQ2027_MB2285C
LT708304.1,SSR61,1916472,1916888,+,BQ2027_MB1727
LT708304.1,SSR61,1916962,1918326,-,BQ2027_MB1728C
LT708304.1,SSR61,1918881,1919471,-,BQ2027_MB1729C
LT708304.1,SSR61,1919536,1921206,-,cycA
LT708304.1,SSR61,1921247,1922404,-,PPE22
LT708304.1,SSR61,1922444,1923628,-,PPE23
LT708304.1,SSR61,1924232,1924399,-,BQ2027_MB1733C
LT708304.1,SSR61,1924632,1926092,+,BQ2027_MB1734
LT708304.1,SSR61,1926110,1927066,+,BQ2027_MB1735
LT708304.1,SSR61,1927063,1927899,+,scpa
LT708304.1,SSR61,1927896,1928591,+,scpb
LT708304.1,SSR61,1928588,1929352,+,BQ2027_MB1738
LT708304.1,SSR61,1929349,1930041,+,cmk
LT708304.1,SSR61,1930038,1931429,+,engA
LT708304.1,SSR61,1931603,1932415,+,BQ2027_MB1741
LT708304.1,SSR61,1932189,1932363,+,BQ2027_IS1540'-1
LT708304.1,SSR61,1932409,1932972,+,fadB3a
LT708304.1,SSR61,1933030,1933323,+,fadB3b
LT708304.1,SSR61,1933326,1934156,+,BQ2027_MB1744
LT708304.1,SSR61,1934156,1934506,+,BQ2027_MB1745
LT708304.1,SSR61,1934559,1935182,+,BQ2027_MB1746
LT708304.1,SSR61,1935390,1936169,+,BQ2027_MB1748
LT708304.1,SSR61,1936362,1936435,+,BQ2027_PROT
LT708304.1,SSR61,1936598,1936772,+,BQ2027_IS1540'-1
LT708304.1,SSR61,1936779,1937168,-,vapc12
LT708304.1,SSR61,1937165,1937392,-,vapb12
LT708304.1,SSR61,1937610,1939094,+,BQ2027_MB1751
LT708304.1,SSR61,1939091,1940338,+,BQ2027_MB1752
LT708304.1,SSR61,1940381,1940800,-,BQ2027_MB1753C
LT708304.1,SSR61,1940790,1941261,-,BQ2027_MB1754C
LT708304.1,SDR7,2282401,2282850,-,BQ2027_MB2073C
LT708304.1,SDR7,2282855,2285250,-,pks12
LT708304.1,SSR41,1257882,1258712,+,prpc
LT708304.1,SSR41,1258724,1260454,+,BQ2027_MB1163
LT708304.1,SSR41,1260466,1262745,-,metE
LT708304.1,SSR41,1263321,1263557,+,BQ2027_MB1165
LT708304.1,SSR41,1263671,1265527,-,PPE16
LT708304.1,SSR41,1265713,1265955,+,BQ2027_MB1167
LT708304.1,SSR41,1266005,1266346,+,BQ2027_MB1168
LT708304.1,SSR41,1266486,1266854,-,BQ2027_MB1169C
LT708304.1,SSR41,1266871,1267887,-,BQ2027_MB1170C
LT708304.1,SSR41,1267884,1268384,-,BQ2027_MB1171C
LT708304.1,SSR41,1268746,1269594,+,BQ2027_MB1172
LT708304.1,SSR41,1269602,1270408,-,echA11
LT708304.1,SSR41,1270551,1271357,-,echA10
LT708304.1,SSR41,1271461,1272543,+,mcr
LT708304.1,SSR41,1272555,1273307,+,BQ2027_MB1176
LT708304.1,SSR41,1273822,1276167,+,mmpL13
LT708304.1,SSR41,1276300,1276950,+,BQ2027_MB1178
LT708304.1,SSR41,1277700,1279148,-,BQ2027_MB1179C
LT708304.1,SSR41,1279215,1280220,+,BQ2027_IS-LIKE-2
LT708304.1,SSR41,1279293,1279700,+,BQ2027_MB1180
LT708304.1,SSR41,1279738,1280217,+,BQ2027_MB1181;end_range=1280217,.
LT708304.1,SSR41,1280304,1281017,-,BQ2027_MB1182C
LT708304.1,SSR41,1281055,1281420,+,BQ2027_MB1183
LT708304.1,SSR41,1281398,1282246,-,omt
LT708304.1,SSR41,1282243,1282884,-,BQ2027_MB1185C
LT708304.1,SSR41,1282829,1283272,+,BQ2027_MB1186
LT708304.1,SSR41,1283430,1283618,+,BQ2027_MB1186A
LT708304.1,SSR41,1283706,1284293,+,BQ2027_MB1187
LT708304.1,SSR41,1284456,1285571,-,BQ2027_MB1188C
LT708304.1,SSR41,1285579,1286262,-,BQ2027_MB1189C
LT708304.1,SSR41,1286392,1287021,+,pime
LT708304.1,SSR40,1221342,1221586,-,coaA
LT708304.1,SSR40,1221974,1223254,+,glyA1
LT708304.1,SSR40,1223359,1224186,+,desA2
LT708304.1,SSR40,1224397,1225698,+,phoH2
LT708304.1,SSR40,1225785,1226660,+,BQ2027_MB1126
LT708304.1,SSR40,1226663,1227544,-,BQ2027_MB1127C
LT708304.1,SSR40,1227541,1228965,-,fum
LT708304.1,SSR40,1228996,1230084,-,glpx
LT708304.1,SSR40,1230083,1230784,+,BQ2027_MB1130
LT708304.1,SSR40,1230791,1231341,-,BQ2027_MB1131C
LT708304.1,SDR3,1276851,1276950,+,BQ2027_MB1178
LT708304.1,SDR3,1277700,1278750,-,BQ2027_MB1179C
LT708304.1,SSR19,639312,640160,-,BQ2027_MB0561C
LT708304.1,SSR19,640256,641200,-,menB
LT708304.1,SSR19,641472,641579,-,vapc3
LT708304.1,SSR19,641576,641884,-,vapc3
LT708304.1,SSR19,641881,642147,-,vapb3
LT708304.1,SSR19,642339,644054,-,fadD8
LT708304.1,SSR19,644132,645736,+,BQ2027_MB0567
LT708304.1,SSR19,645733,646713,+,menC
LT708304.1,SSR19,646710,647498,+,bpoC
LT708304.1,SSR19,647541,649205,+,menD
LT708304.1,SSR19,649202,649717,+,BQ2027_MB0571
LT708304.1,SSR19,649779,650915,+,mgta
LT708304.1,SSR19,650932,651636,+,menH
LT708304.1,SSR19,651650,651988,-,BQ2027_MB0574C
LT708304.1,SSR19,652022,652747,-,BQ2027_MB0575C
LT708304.1,SSR19,652772,653998,-,BQ2027_MB0576C
LT708304.1,SSR19,654014,654531,+,grcC1
LT708304.1,SSR67,2085252,2085344,-,BQ2027_MB1872C
LT708304.1,SSR67,2085344,2086711,-,BQ2027_MB1873C
LT708304.1,SSR67,2086885,2087679,-,guaB1
LT708304.1,SSR67,2087690,2089747,-,gnd1
LT708304.1,SSR67,2089837,2090787,-,blar
LT708304.1,SSR67,2090802,2091218,-,blai
LT708304.1,SSR67,2091496,2091918,+,BQ2027_MB1878
LT708304.1,SSR67,2091967,2092269,+,ureA
LT708304.1,SSR67,2092266,2092580,+,ureB
LT708304.1,SSR67,2092580,2094313,+,ureC
LT708304.1,SSR67,2094313,2094948,+,ureF
LT708304.1,SSR67,2094959,2095633,+,ureG
LT708304.1,SSR67,2095641,2096267,+,ureD
LT708304.1,SSR67,2096270,2097661,-,ndh
LT708304.1,SSR67,2097802,2098725,-,BQ2027_MB1886C
LT708304.1,SSR67,2098764,2099441,-,BQ2027_MB1887C
LT708304.1,SSR67,2099603,2100388,+,modA
LT708304.1,SSR67,2100391,2101185,+,modB
LT708304.1,SSR67,2101192,2101341,+,modC
LT708304.1,SSR95,3004842,3005426,+,BQ2027_MB2750
LT708304.1,SSR95,3005423,3006037,-,BQ2027_MB2751C
LT708304.1,SSR95,3006034,3007572,-,miaB
LT708304.1,SSR95,3007869,3008723,+,BQ2027_MB2753
LT708304.1,SSR95,3008608,3009600,-,BQ2027_MB2754C
LT708304.1,SSR95,3009610,3010134,-,recX
LT708304.1,SSR95,3010100,3012472,-,recA
LT708304.1,SSR95,3012667,3012840,+,BQ2027_MB2757
LT708304.1,SSR95,3012854,3013060,-,BQ2027_MB2758C
LT708304.1,SSR95,3013071,3014237,-,BQ2027_MB2759C
LT708304.1,SSR95,3014281,3014730,+,ephg
LT708304.1,SSR37,1137822,1138535,-,glmU
LT708304.1,SSR37,1138517,1138588,-,BQ2027_GLNT
LT708304.1,SSR37,1138790,1139383,+,BQ2027_MB1047
LT708304.1,SSR37,1139442,1143146,+,mfd
LT708304.1,SSR37,1143146,1144123,+,mazG
LT708304.1,SSR37,1144211,1144942,+,lpqU
LT708304.1,SSR37,1145039,1146328,+,eno
LT708304.1,SSR37,1146333,1147019,+,BQ2027_MB1052
LT708304.1,SSR37,1147036,1147503,+,BQ2027_MB1053
LT708304.1,SSR37,1147494,1148453,+,ppx2
LT708304.1,SSR37,1148902,1149582,-,kdpE
LT708304.1,SSR37,1149579,1152161,-,kdpD
LT708304.1,SSR37,1152395,1152487,+,kdpF
LT708304.1,SSR37,1152487,1154202,+,kdpA
LT708304.1,SSR37,1154199,1154781,+,kdpB
LT708304.1,SSR91,2829972,2830498,-,efp
LT708304.1,SSR91,2830508,2831626,-,pepQ
LT708304.1,SSR91,2831660,2832352,+,BQ2027_MB2565
LT708304.1,SSR91,2832356,2832799,-,aroD
LT708304.1,SSR91,2832796,2833884,-,aroB
LT708304.1,SSR91,2833881,2834411,-,aroK
LT708304.1,SSR91,2834415,2835620,-,aroF
LT708304.1,SSR91,2835635,2836042,+,BQ2027_MB2570
LT708304.1,SSR91,2836338,2837549,+,BQ2027_MB2571
LT708304.1,SSR91,2837676,2838335,+,lppA
LT708304.1,SSR91,2838332,2838991,+,lprR
LT708304.1,SSR91,2838988,2839650,+,lppB
LT708304.1,SSR91,2839647,2839925,+,vapb18
LT708304.1,SSR91,2840018,2840431,+,vapc18
LT708304.1,SSR91,2840470,2840727,+,vapb19
LT708304.1,SSR91,2840724,2841101,+,vapc19
LT708304.1,SSR91,2841117,2841491,-,BQ2027_MB2578A
LT708304.1,SSR91,2841591,2841986,-,vapc20
LT708304.1,SSR91,2841983,2842228,-,vapb20
LT708304.1,SSR91,2842639,2843058,-,BQ2027_MB2581C
LT708304.1,SSR91,2843070,2843852,-,aroE
LT708304.1,SSR91,2843875,2845128,-,BQ2027_MB2583C
LT708304.1,SSR91,2845121,2845633,-,BQ2027_MB2584C
LT708304.1,SSR91,2845634,2846061,-,alaS
LT708304.1,SSR117,3822642,3823233,+,mycp4
LT708304.1,SSR117,3823198,3824610,-,eccb4
LT708304.1,SSR117,3824731,3825519,+,cut3
LT708304.1,SSR117,3825566,3826246,+,cut4
LT708304.1,SSR117,3826518,3828203,+,BQ2027_MB3483
LT708304.1,SSR117,3828165,3828935,-,truA
LT708304.1,SSR117,3829003,3829545,-,rplQ
LT708304.1,SSR117,3829577,3830620,-,rpoA
LT708304.1,SSR117,3830768,3831373,-,rpsD
LT708304.1,SSR117,3831382,3831801,-,rpsK
LT708304.1,SSR117,3831805,3832179,-,rpsM
LT708304.1,SSR117,3832395,3832508,-,rpmJ
LT708304.1,SSR117,3832541,3832762,-,infA
LT708304.1,SSR117,3833016,3833873,+,BQ2027_MB3492
LT708304.1,SSR117,3833946,3834941,+,rmlB1
LT708304.1,SSR117,3834943,3835551,+,rmlC
LT708304.1,SSR117,3835634,3836302,+,BQ2027_MB3495
LT708304.1,SSR117,3836073,3836991,+,BQ2027_MB3496
LT708304.1,SSR18,628002,628495,+,pnp
LT708304.1,SSR18,628492,629532,+,galE3
LT708304.1,SSR18,629542,630975,-,BQ2027_MB0551C
LT708304.1,SSR18,631284,632930,+,BQ2027_MB0552
LT708304.1,SSR18,632987,633619,+,BQ2027_MB0553
LT708304.1,SSR18,633616,634278,+,BQ2027_MB0554
LT708304.1,SSR18,634299,635648,-,BQ2027_MB0555C
LT708304.1,SSR18,635660,636748,-,menE
LT708304.1,SSR18,636817,637119,-,BQ2027_MB0557C
LT708304.1,SSR18,637179,637457,-,BQ2027_MB0558C
LT708304.1,SSR18,637454,638001,-,pitA
LT708304.1,SSR96,3015282,3016454,+,PE_PGRS47
LT708304.1,SSR96,3016478,3016726,-,BQ2027_MB2762C
LT708304.1,SSR96,3016747,3017334,-,BQ2027_MB2763C
LT708304.1,SSR96,3017406,3018218,-,BQ2027_MB2764C
LT708304.1,SSR96,3018237,3019049,-,35kd_ag
LT708304.1,SSR96,3019179,3019517,-,clgr
LT708304.1,SSR96,3019588,3020217,-,pgsA3
LT708304.1,SSR96,3020248,3020772,+,arga
LT708304.1,SSR96,3020841,3023492,-,ftsK
LT708304.1,SSR96,3023491,3023805,+,BQ2027_MB2770
LT708304.1,SSR96,3023802,3024620,+,BQ2027_MB2771
LT708304.1,SSR96,3024624,3025514,+,BQ2027_MB2772
LT708304.1,SSR96,3025501,3027021,-,rnj
LT708304.1,SSR58,1819902,1820336,-,BQ2027_MB1654C
LT708304.1,SSR58,1820440,1823154,+,polA
LT708304.1,SSR58,1823317,1824762,+,rpsA
LT708304.1,SSR58,1824788,1826011,+,coaE
LT708304.1,SSR58,1826162,1826605,-,BQ2027_MB1658C
LT708304.1,SSR58,1826850,1828946,+,uvrB
LT708304.1,SSR58,1828943,1830358,+,BQ2027_MB1660
LT708304.1,SSR58,1830347,1830771,-,BQ2027_MB1661C
LT708304.1,SSR108,3434622,3434863,-,prfB
LT708304.1,SSR108,3434967,3436337,+,fprA
LT708304.1,SSR108,3436338,3437921,-,agpS
LT708304.1,SSR108,3437873,3439307,+,BQ2027_IS1081-6
LT708304.1,SSR108,3438020,3438460,+,BQ2027_MB3135
LT708304.1,SSR108,3438609,3439688,+,moaA1
LT708304.1,SSR108,3439739,3440134,+,moaB1
LT708304.1,SSR108,3440131,3440643,+,moaC1
LT708304.1,SSR108,3440660,3440911,+,moaD1
LT708304.1,SSR108,3441033,3441701,+,BQ2027_MB3140
LT708304.1,SSR108,3441718,3442248,+,BQ2027_MB3141
LT708304.1,SSR108,3442285,3443719,+,BQ2027_IS1081-6
LT708304.1,SSR108,3442410,3443657,+,BQ2027_MB3142
LT708304.1,SSR108,3443735,3444621,+,moeB2
LT708304.1,SSR92,2896092,2896101,-,ruvB
LT708304.1,SSR92,2896098,2896688,-,ruvA
LT708304.1,SSR92,2896685,2897251,-,ruvC
LT708304.1,SSR92,2897360,2897605,+,vapb40
LT708304.1,SSR92,2897602,2898006,+,vapc40
LT708304.1,SSR92,2898223,2898843,+,BQ2027_MB2628
LT708304.1,SSR92,2898854,2899348,+,BQ2027_MB2629
LT708304.1,SSR92,2899345,2899776,+,BQ2027_MB2630
LT708304.1,SSR92,2899858,2900259,+,BQ2027_MB2631
LT708304.1,SSR92,2900256,2901827,+,speE
LT708304.1,SSR92,2901938,2902225,+,vapb41
LT708304.1,SSR92,2902212,2902652,+,vapc41
LT708304.1,SSR92,2902673,2903428,-,BQ2027_MB2635C
LT708304.1,SSR92,2903561,2904157,-,snop
LT708304.1,SSR92,2904165,2905010,-,tesB2
LT708304.1,SSR92,2905039,2905938,-,snzp
LT708304.1,SSR92,2906066,2906740,+,pdxH
LT708304.1,SSR92,2906914,2908656,+,PPE42
LT708304.1,SSR92,2908678,2909571,-,BQ2027_MB2641C
